Complaint,Category,Subcategory,Priority
Building Code Violations has minor problems Needs urgent review.,Infrastructure,Building Code Violations,Medium
Something isn't right with the building code violations Please fix it.,Infrastructure,Building Code Violations,High
Building Code Violations has minor problems,Infrastructure,Building Code Violations,High
Reported a minor issue in building code violations,Infrastructure,Building Code Violations,Critical
Building Code Violations is slightly malfunctioning Urgent check needed.,Infrastructure,Building Code Violations,Low
I saw a small problem in the building code violations Not working as it should.,Infrastructure,Building Code Violations,High
Something isn't right with the building code violations Needs urgent review.,Infrastructure,Building Code Violations,High
I saw a small problem in the building code violations Please fix it.,Infrastructure,Building Code Violations,Low
I saw a small problem in the building code violations.,Infrastructure,Building Code Violations,Medium
Something isn't right with the building code violations,Infrastructure,Building Code Violations,Low
The building code violations is not working Can someone check?,Infrastructure,Building Code Violations,Medium
Something isn't right with the building code violations Might be dangerous.,Infrastructure,Building Code Violations,Critical
Building Code Violations seems broken Needs quick inspection.,Infrastructure,Building Code Violations,Medium
There is an issue with the building code violations Needs quick inspection.,Infrastructure,Building Code Violations,Critical
Building Code Violations has minor problems Needs quick inspection.,Infrastructure,Building Code Violations,Critical
I saw a small problem in the building code violations Needs attention.,Infrastructure,Building Code Violations,Medium
The building code violations is not working Please fix it.,Infrastructure,Building Code Violations,Medium
The building code violations is not working Needs attention.,Infrastructure,Building Code Violations,Critical
Something isn't right with the building code violations Not working as it should.,Infrastructure,Building Code Violations,Medium
The building code violations needs attention Needs attention.,Infrastructure,Building Code Violations,Low
Building Code Violations is slightly malfunctioning Needs quick inspection.,Infrastructure,Building Code Violations,Critical
Building Code Violations has minor problems Please fix it.,Infrastructure,Building Code Violations,High
There is an issue with the building code violations Might be dangerous.,Infrastructure,Building Code Violations,High
Building Code Violations is not functioning well,Infrastructure,Building Code Violations,Low
There is an issue with the building code violations Can someone check?,Infrastructure,Building Code Violations,Medium
The building code violations needs attention,Infrastructure,Building Code Violations,Low
The building code violations is not working Might be dangerous.,Infrastructure,Building Code Violations,Critical
The building code violations needs attention Please fix it.,Infrastructure,Building Code Violations,Medium
The building code violations is not working Needs quick inspection.,Infrastructure,Building Code Violations,Low
Building Code Violations seems broken Might be dangerous.,Infrastructure,Building Code Violations,Medium
The building code violations needs attention Urgent check needed.,Infrastructure,Building Code Violations,Medium
Building Code Violations has minor problems Urgent check needed.,Infrastructure,Building Code Violations,Low
Building Code Violations seems broken Not working as it should.,Infrastructure,Building Code Violations,Critical
I saw a small problem in the building code violations Needs quick inspection.,Infrastructure,Building Code Violations,High
Building Code Violations has minor problems Might be dangerous.,Infrastructure,Building Code Violations,Medium
Building Code Violations seems broken Needs urgent review.,Infrastructure,Building Code Violations,Medium
The building code violations is not working Needs urgent review.,Infrastructure,Building Code Violations,Medium
There is an issue with the building code violations.,Infrastructure,Building Code Violations,Low
Reported a minor issue in building code violations Urgent check needed.,Infrastructure,Building Code Violations,Critical
Something isn't right with the building code violations Urgent check needed.,Infrastructure,Building Code Violations,Critical
The building code violations is not working Not working as it should.,Infrastructure,Building Code Violations,Critical
There is an issue with the building code violations Urgent check needed.,Infrastructure,Building Code Violations,Low
Building Code Violations is not functioning well Urgent check needed.,Infrastructure,Building Code Violations,High
There is an issue with the building code violations Please fix it.,Infrastructure,Building Code Violations,High
The building code violations needs attention Can someone check?,Infrastructure,Building Code Violations,High
The building code violations needs attention Needs quick inspection.,Infrastructure,Building Code Violations,High
The building code violations needs attention.,Infrastructure,Building Code Violations,Critical
I saw a small problem in the building code violations Urgent check needed.,Infrastructure,Building Code Violations,Low
There is an issue with the building code violations Needs urgent review.,Infrastructure,Building Code Violations,Critical
Building Code Violations is not functioning well Please fix it.,Infrastructure,Building Code Violations,High
Building Code Violations is not functioning well Not working as it should.,Infrastructure,Building Code Violations,Critical
Building Code Violations is slightly malfunctioning Not working as it should.,Infrastructure,Building Code Violations,Low
There is an issue with the building code violations Needs attention.,Infrastructure,Building Code Violations,Critical
There is an issue with the building code violations Not working as it should.,Infrastructure,Building Code Violations,High
Reported a minor issue in building code violations Can someone check?,Infrastructure,Building Code Violations,High
The building code violations needs attention Needs urgent review.,Infrastructure,Building Code Violations,Low
Building Code Violations has minor problems Needs attention.,Infrastructure,Building Code Violations,Medium
I saw a small problem in the building code violations Can someone check?,Infrastructure,Building Code Violations,High
Something isn't right with the building code violations Can someone check?,Infrastructure,Building Code Violations,Critical
I saw a small problem in the building code violations,Infrastructure,Building Code Violations,Critical
Reported a minor issue in building code violations Needs attention.,Infrastructure,Building Code Violations,Medium
There is an issue with the building code violations,Infrastructure,Building Code Violations,Low
There is an issue with the sidewalk damage Can someone check?,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is slightly malfunctioning Not working as it should.,Infrastructure,Sidewalk Damage,High
I saw a small problem in the sidewalk damage Can someone check?,Infrastructure,Sidewalk Damage,Critical
The sidewalk damage needs attention Needs quick inspection.,Infrastructure,Sidewalk Damage,Low
Something isn't right with the sidewalk damage Can someone check?,Infrastructure,Sidewalk Damage,High
Sidewalk Damage is not functioning well Might be dangerous.,Infrastructure,Sidewalk Damage,High
Sidewalk Damage is slightly malfunctioning,Infrastructure,Sidewalk Damage,Critical
The sidewalk damage needs attention Can someone check?,Infrastructure,Sidewalk Damage,Critical
The sidewalk damage is not working Please fix it.,Infrastructure,Sidewalk Damage,High
The sidewalk damage needs attention Please fix it.,Infrastructure,Sidewalk Damage,Critical
Something isn't right with the sidewalk damage Needs urgent review.,Infrastructure,Sidewalk Damage,Critical
The sidewalk damage is not working Needs attention.,Infrastructure,Sidewalk Damage,Low
Something isn't right with the sidewalk damage Urgent check needed.,Infrastructure,Sidewalk Damage,Critical
There is an issue with the sidewalk damage Not working as it should.,Infrastructure,Sidewalk Damage,Low
The sidewalk damage needs attention Urgent check needed.,Infrastructure,Sidewalk Damage,Critical
There is an issue with the sidewalk damage Urgent check needed.,Infrastructure,Sidewalk Damage,Low
The sidewalk damage is not working Can someone check?,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage has minor problems Urgent check needed.,Infrastructure,Sidewalk Damage,Medium
Sidewalk Damage has minor problems.,Infrastructure,Sidewalk Damage,Medium
The sidewalk damage needs attention Might be dangerous.,Infrastructure,Sidewalk Damage,Medium
Sidewalk Damage is slightly malfunctioning Needs attention.,Infrastructure,Sidewalk Damage,High
Sidewalk Damage seems broken Needs quick inspection.,Infrastructure,Sidewalk Damage,High
Sidewalk Damage has minor problems Please fix it.,Infrastructure,Sidewalk Damage,High
There is an issue with the sidewalk damage Please fix it.,Infrastructure,Sidewalk Damage,Low
Something isn't right with the sidewalk damage Not working as it should.,Infrastructure,Sidewalk Damage,High
Something isn't right with the sidewalk damage Needs attention.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is slightly malfunctioning Needs quick inspection.,Infrastructure,Sidewalk Damage,High
I saw a small problem in the sidewalk damage Urgent check needed.,Infrastructure,Sidewalk Damage,High
Reported a minor issue in sidewalk damage Needs quick inspection.,Infrastructure,Sidewalk Damage,Critical
Something isn't right with the sidewalk damage.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is slightly malfunctioning Urgent check needed.,Infrastructure,Sidewalk Damage,High
The sidewalk damage needs attention Needs urgent review.,Infrastructure,Sidewalk Damage,High
There is an issue with the sidewalk damage,Infrastructure,Sidewalk Damage,Critical
I saw a small problem in the sidewalk damage Needs attention.,Infrastructure,Sidewalk Damage,Critical
There is an issue with the sidewalk damage Needs urgent review.,Infrastructure,Sidewalk Damage,Medium
Something isn't right with the sidewalk damage Needs quick inspection.,Infrastructure,Sidewalk Damage,Critical
Sidewalk Damage is slightly malfunctioning Can someone check?,Infrastructure,Sidewalk Damage,High
Sidewalk Damage is not functioning well Needs attention.,Infrastructure,Sidewalk Damage,High
Reported a minor issue in sidewalk damage Might be dangerous.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage has minor problems Needs attention.,Infrastructure,Sidewalk Damage,High
Something isn't right with the sidewalk damage,Infrastructure,Sidewalk Damage,High
Sidewalk Damage seems broken Not working as it should.,Infrastructure,Sidewalk Damage,Medium
Reported a minor issue in sidewalk damage.,Infrastructure,Sidewalk Damage,Critical
Sidewalk Damage is not functioning well Can someone check?,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage seems broken,Infrastructure,Sidewalk Damage,Low
I saw a small problem in the sidewalk damage Not working as it should.,Infrastructure,Sidewalk Damage,Low
The sidewalk damage needs attention Needs attention.,Infrastructure,Sidewalk Damage,Low
Reported a minor issue in sidewalk damage Urgent check needed.,Infrastructure,Sidewalk Damage,Critical
Sidewalk Damage seems broken Needs urgent review.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is not functioning well Needs urgent review.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is slightly malfunctioning Might be dangerous.,Infrastructure,Sidewalk Damage,Critical
Sidewalk Damage is slightly malfunctioning Please fix it.,Infrastructure,Sidewalk Damage,High
There is an issue with the sidewalk damage Might be dangerous.,Infrastructure,Sidewalk Damage,Medium
Reported a minor issue in sidewalk damage Needs urgent review.,Infrastructure,Sidewalk Damage,High
The sidewalk damage is not working.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is not functioning well Urgent check needed.,Infrastructure,Sidewalk Damage,High
The sidewalk damage needs attention.,Infrastructure,Sidewalk Damage,Medium
Sidewalk Damage is slightly malfunctioning.,Infrastructure,Sidewalk Damage,Medium
The sidewalk damage is not working Might be dangerous.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is not functioning well,Infrastructure,Sidewalk Damage,Medium
I saw a small problem in the sidewalk damage,Infrastructure,Sidewalk Damage,High
Sidewalk Damage has minor problems Might be dangerous.,Infrastructure,Sidewalk Damage,Critical
Sidewalk Damage has minor problems Can someone check?,Infrastructure,Sidewalk Damage,High
Sidewalk Damage is not functioning well Needs quick inspection.,Infrastructure,Sidewalk Damage,Low
The sidewalk damage is not working Needs quick inspection.,Infrastructure,Sidewalk Damage,Critical
Sidewalk Damage has minor problems Not working as it should.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage seems broken.,Infrastructure,Sidewalk Damage,Critical
Reported a minor issue in sidewalk damage Please fix it.,Infrastructure,Sidewalk Damage,Medium
Sidewalk Damage has minor problems Needs urgent review.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is slightly malfunctioning Needs urgent review.,Infrastructure,Sidewalk Damage,Medium
Sidewalk Damage has minor problems Needs quick inspection.,Infrastructure,Sidewalk Damage,Critical
Sidewalk Damage seems broken Urgent check needed.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is not functioning well.,Infrastructure,Sidewalk Damage,Critical
Reported a minor issue in sidewalk damage,Infrastructure,Sidewalk Damage,High
Something isn't right with the sidewalk damage Might be dangerous.,Infrastructure,Sidewalk Damage,Low
Sidewalk Damage is not functioning well Not working as it should.,Infrastructure,Sidewalk Damage,Low
I saw a small problem in the sidewalk damage Might be dangerous.,Infrastructure,Sidewalk Damage,Medium
Sidewalk Damage seems broken Can someone check?,Infrastructure,Sidewalk Damage,Critical
Sidewalk Damage seems broken Please fix it.,Infrastructure,Sidewalk Damage,Critical
The sidewalk damage is not working Urgent check needed.,Infrastructure,Sidewalk Damage,Medium
I saw a small problem in the sidewalk damage.,Infrastructure,Sidewalk Damage,Medium
I saw a small problem in the sidewalk damage Needs quick inspection.,Infrastructure,Sidewalk Damage,Medium
Reported a minor issue in sidewalk damage Can someone check?,Infrastructure,Sidewalk Damage,Critical
There is an issue with the sidewalk damage.,Infrastructure,Sidewalk Damage,High
Sidewalk Damage is not functioning well Please fix it.,Infrastructure,Sidewalk Damage,High
Sidewalk Damage has minor problems,Infrastructure,Sidewalk Damage,Critical
I saw a small problem in the sidewalk damage Needs urgent review.,Infrastructure,Sidewalk Damage,Medium
Reported a minor issue in sidewalk damage Needs attention.,Infrastructure,Sidewalk Damage,Low
Reported a minor issue in sidewalk damage Not working as it should.,Infrastructure,Sidewalk Damage,Critical
The sidewalk damage needs attention,Infrastructure,Sidewalk Damage,High
The sidewalk damage is not working Needs urgent review.,Infrastructure,Sidewalk Damage,Medium
Sidewalk Damage seems broken Needs attention.,Infrastructure,Sidewalk Damage,Critical
The sidewalk damage needs attention Not working as it should.,Infrastructure,Sidewalk Damage,Medium
The sidewalk damage is not working Not working as it should.,Infrastructure,Sidewalk Damage,Low
The sidewalk damage is not working,Infrastructure,Sidewalk Damage,Critical
There is an issue with the sidewalk damage Needs quick inspection.,Infrastructure,Sidewalk Damage,High
Sidewalk Damage seems broken Might be dangerous.,Infrastructure,Sidewalk Damage,Medium
Something isn't right with the sidewalk damage Please fix it.,Infrastructure,Sidewalk Damage,Medium
I saw a small problem in the sidewalk damage Please fix it.,Infrastructure,Sidewalk Damage,Critical
There is an issue with the sidewalk damage Needs attention.,Infrastructure,Sidewalk Damage,Low
There is an issue with the accessibility issues Needs attention.,Infrastructure,Accessibility Issues,Low
Accessibility Issues is slightly malfunctioning Needs urgent review.,Infrastructure,Accessibility Issues,Critical
Accessibility Issues seems broken.,Infrastructure,Accessibility Issues,Critical
The accessibility issues needs attention.,Infrastructure,Accessibility Issues,High
Something isn't right with the accessibility issues Not working as it should.,Infrastructure,Accessibility Issues,High
Reported a minor issue in accessibility issues.,Infrastructure,Accessibility Issues,High
The accessibility issues needs attention Needs urgent review.,Infrastructure,Accessibility Issues,Medium
I saw a small problem in the accessibility issues,Infrastructure,Accessibility Issues,Medium
There is an issue with the accessibility issues Might be dangerous.,Infrastructure,Accessibility Issues,Low
Accessibility Issues has minor problems,Infrastructure,Accessibility Issues,Critical
The accessibility issues is not working Needs attention.,Infrastructure,Accessibility Issues,High
Something isn't right with the accessibility issues Urgent check needed.,Infrastructure,Accessibility Issues,Medium
There is an issue with the accessibility issues,Infrastructure,Accessibility Issues,Critical
Reported a minor issue in accessibility issues Not working as it should.,Infrastructure,Accessibility Issues,Low
I saw a small problem in the accessibility issues Please fix it.,Infrastructure,Accessibility Issues,Low
Accessibility Issues seems broken Urgent check needed.,Infrastructure,Accessibility Issues,High
Accessibility Issues is slightly malfunctioning Can someone check?,Infrastructure,Accessibility Issues,Critical
The accessibility issues needs attention Might be dangerous.,Infrastructure,Accessibility Issues,Critical
Accessibility Issues seems broken Needs attention.,Infrastructure,Accessibility Issues,Low
Accessibility Issues has minor problems Needs urgent review.,Infrastructure,Accessibility Issues,Critical
Accessibility Issues has minor problems Needs quick inspection.,Infrastructure,Accessibility Issues,Medium
Accessibility Issues is not functioning well Needs attention.,Infrastructure,Accessibility Issues,High
Accessibility Issues has minor problems Not working as it should.,Infrastructure,Accessibility Issues,Medium
The accessibility issues is not working.,Infrastructure,Accessibility Issues,Low
Accessibility Issues is slightly malfunctioning.,Infrastructure,Accessibility Issues,Critical
There is an issue with the accessibility issues Needs quick inspection.,Infrastructure,Accessibility Issues,Medium
Something isn't right with the accessibility issues Might be dangerous.,Infrastructure,Accessibility Issues,High
The accessibility issues is not working Needs quick inspection.,Infrastructure,Accessibility Issues,Low
Accessibility Issues is not functioning well,Infrastructure,Accessibility Issues,Critical
Accessibility Issues is not functioning well Not working as it should.,Infrastructure,Accessibility Issues,Medium
Reported a minor issue in accessibility issues Can someone check?,Infrastructure,Accessibility Issues,Critical
Something isn't right with the accessibility issues.,Infrastructure,Accessibility Issues,Low
Accessibility Issues seems broken Needs urgent review.,Infrastructure,Accessibility Issues,Medium
Accessibility Issues seems broken Can someone check?,Infrastructure,Accessibility Issues,Critical
Accessibility Issues is not functioning well Needs quick inspection.,Infrastructure,Accessibility Issues,Low
Reported a minor issue in accessibility issues Might be dangerous.,Infrastructure,Accessibility Issues,Medium
Accessibility Issues is not functioning well Urgent check needed.,Infrastructure,Accessibility Issues,High
Accessibility Issues is slightly malfunctioning,Infrastructure,Accessibility Issues,Medium
Reported a minor issue in accessibility issues,Infrastructure,Accessibility Issues,Critical
The accessibility issues needs attention,Infrastructure,Accessibility Issues,Medium
There is an issue with the accessibility issues Urgent check needed.,Infrastructure,Accessibility Issues,Critical
The accessibility issues is not working Not working as it should.,Infrastructure,Accessibility Issues,Low
Accessibility Issues seems broken Please fix it.,Infrastructure,Accessibility Issues,High
I saw a small problem in the accessibility issues Might be dangerous.,Infrastructure,Accessibility Issues,Medium
Reported a minor issue in accessibility issues Needs quick inspection.,Infrastructure,Accessibility Issues,Critical
Something isn't right with the accessibility issues Needs quick inspection.,Infrastructure,Accessibility Issues,Medium
Something isn't right with the accessibility issues Please fix it.,Infrastructure,Accessibility Issues,Critical
The accessibility issues is not working Please fix it.,Infrastructure,Accessibility Issues,High
The accessibility issues needs attention Urgent check needed.,Infrastructure,Accessibility Issues,Medium
I saw a small problem in the accessibility issues Needs urgent review.,Infrastructure,Accessibility Issues,Medium
Accessibility Issues is not functioning well Can someone check?,Infrastructure,Accessibility Issues,Medium
I saw a small problem in the accessibility issues Needs attention.,Infrastructure,Accessibility Issues,High
The accessibility issues needs attention Can someone check?,Infrastructure,Accessibility Issues,Low
Accessibility Issues has minor problems Can someone check?,Infrastructure,Accessibility Issues,Critical
Accessibility Issues is slightly malfunctioning Not working as it should.,Infrastructure,Accessibility Issues,Medium
Something isn't right with the accessibility issues Can someone check?,Infrastructure,Accessibility Issues,Medium
The accessibility issues is not working,Infrastructure,Accessibility Issues,High
The accessibility issues needs attention Needs attention.,Infrastructure,Accessibility Issues,Low
The accessibility issues is not working Can someone check?,Infrastructure,Accessibility Issues,High
Accessibility Issues seems broken Needs quick inspection.,Infrastructure,Accessibility Issues,Low
Reported a minor issue in accessibility issues Urgent check needed.,Infrastructure,Accessibility Issues,Critical
The accessibility issues is not working Needs urgent review.,Infrastructure,Accessibility Issues,High
Accessibility Issues has minor problems.,Infrastructure,Accessibility Issues,High
The accessibility issues is not working Urgent check needed.,Infrastructure,Accessibility Issues,Critical
Accessibility Issues has minor problems Needs attention.,Infrastructure,Accessibility Issues,Medium
Reported a minor issue in accessibility issues Needs attention.,Infrastructure,Accessibility Issues,High
The accessibility issues needs attention Not working as it should.,Infrastructure,Accessibility Issues,High
Accessibility Issues is not functioning well Needs urgent review.,Infrastructure,Accessibility Issues,Medium
Accessibility Issues is slightly malfunctioning Might be dangerous.,Infrastructure,Accessibility Issues,Medium
I saw a small problem in the accessibility issues Can someone check?,Infrastructure,Accessibility Issues,Critical
Reported a minor issue in accessibility issues Please fix it.,Infrastructure,Accessibility Issues,High
Reported a minor issue in accessibility issues Needs urgent review.,Infrastructure,Accessibility Issues,High
There is an issue with the accessibility issues Needs urgent review.,Infrastructure,Accessibility Issues,Low
There is an issue with the accessibility issues Can someone check?,Infrastructure,Accessibility Issues,High
Accessibility Issues has minor problems Might be dangerous.,Infrastructure,Accessibility Issues,High
Something isn't right with the accessibility issues Needs attention.,Infrastructure,Accessibility Issues,High
Something isn't right with the accessibility issues Needs urgent review.,Infrastructure,Accessibility Issues,Medium
I saw a small problem in the accessibility issues Urgent check needed.,Infrastructure,Accessibility Issues,Critical
I saw a small problem in the accessibility issues.,Infrastructure,Accessibility Issues,Medium
The accessibility issues is not working Might be dangerous.,Infrastructure,Accessibility Issues,Critical
There is an issue with the accessibility issues Please fix it.,Infrastructure,Accessibility Issues,Medium
Accessibility Issues seems broken Not working as it should.,Infrastructure,Accessibility Issues,Medium
There is an issue with the accessibility issues Not working as it should.,Infrastructure,Accessibility Issues,Critical
Accessibility Issues seems broken,Infrastructure,Accessibility Issues,High
Accessibility Issues has minor problems Urgent check needed.,Infrastructure,Accessibility Issues,High
Accessibility Issues is not functioning well Might be dangerous.,Infrastructure,Accessibility Issues,Medium
Accessibility Issues has minor problems Please fix it.,Infrastructure,Accessibility Issues,Medium
The accessibility issues needs attention Needs quick inspection.,Infrastructure,Accessibility Issues,High
Accessibility Issues is slightly malfunctioning Please fix it.,Infrastructure,Accessibility Issues,Low
Accessibility Issues seems broken Might be dangerous.,Infrastructure,Accessibility Issues,High
The accessibility issues needs attention Please fix it.,Infrastructure,Accessibility Issues,Low
Accessibility Issues is slightly malfunctioning Urgent check needed.,Infrastructure,Accessibility Issues,High
Accessibility Issues is slightly malfunctioning Needs attention.,Infrastructure,Accessibility Issues,Medium
I saw a small problem in the accessibility issues Needs quick inspection.,Infrastructure,Accessibility Issues,Medium
I saw a small problem in the accessibility issues Not working as it should.,Infrastructure,Accessibility Issues,Low
Something isn't right with the accessibility issues,Infrastructure,Accessibility Issues,Low
Accessibility Issues is not functioning well.,Infrastructure,Accessibility Issues,High
There is an issue with the accessibility issues.,Infrastructure,Accessibility Issues,Critical
Accessibility Issues is not functioning well Please fix it.,Infrastructure,Accessibility Issues,Low
Accessibility Issues is slightly malfunctioning Needs quick inspection.,Infrastructure,Accessibility Issues,Low
Reported a minor issue in public restroom problems.,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems is slightly malfunctioning Not working as it should.,Infrastructure,Public Restroom Problems,Medium
The public restroom problems needs attention,Infrastructure,Public Restroom Problems,Medium
Reported a minor issue in public restroom problems Needs urgent review.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems is slightly malfunctioning.,Infrastructure,Public Restroom Problems,Medium
I saw a small problem in the public restroom problems Might be dangerous.,Infrastructure,Public Restroom Problems,Medium
The public restroom problems needs attention Urgent check needed.,Infrastructure,Public Restroom Problems,Medium
Reported a minor issue in public restroom problems Can someone check?,Infrastructure,Public Restroom Problems,Low
Something isn't right with the public restroom problems Might be dangerous.,Infrastructure,Public Restroom Problems,Low
Reported a minor issue in public restroom problems Needs quick inspection.,Infrastructure,Public Restroom Problems,High
The public restroom problems is not working,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems is not functioning well Urgent check needed.,Infrastructure,Public Restroom Problems,Critical
I saw a small problem in the public restroom problems Needs urgent review.,Infrastructure,Public Restroom Problems,Low
Public Restroom Problems is slightly malfunctioning Needs attention.,Infrastructure,Public Restroom Problems,Low
I saw a small problem in the public restroom problems.,Infrastructure,Public Restroom Problems,Critical
Public Restroom Problems is slightly malfunctioning Needs quick inspection.,Infrastructure,Public Restroom Problems,Medium
Reported a minor issue in public restroom problems Might be dangerous.,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems is not functioning well Not working as it should.,Infrastructure,Public Restroom Problems,Critical
Something isn't right with the public restroom problems Needs attention.,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems is slightly malfunctioning Please fix it.,Infrastructure,Public Restroom Problems,Critical
There is an issue with the public restroom problems Not working as it should.,Infrastructure,Public Restroom Problems,Critical
Public Restroom Problems seems broken Needs urgent review.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems has minor problems Needs attention.,Infrastructure,Public Restroom Problems,Medium
There is an issue with the public restroom problems Urgent check needed.,Infrastructure,Public Restroom Problems,Critical
Something isn't right with the public restroom problems Needs quick inspection.,Infrastructure,Public Restroom Problems,Low
Public Restroom Problems is slightly malfunctioning,Infrastructure,Public Restroom Problems,Medium
The public restroom problems is not working Might be dangerous.,Infrastructure,Public Restroom Problems,Medium
There is an issue with the public restroom problems Needs quick inspection.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems has minor problems Might be dangerous.,Infrastructure,Public Restroom Problems,Medium
The public restroom problems needs attention Needs quick inspection.,Infrastructure,Public Restroom Problems,Critical
Public Restroom Problems has minor problems.,Infrastructure,Public Restroom Problems,Low
The public restroom problems is not working.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems seems broken Needs attention.,Infrastructure,Public Restroom Problems,Low
Something isn't right with the public restroom problems Please fix it.,Infrastructure,Public Restroom Problems,Critical
The public restroom problems needs attention Not working as it should.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems is slightly malfunctioning Needs urgent review.,Infrastructure,Public Restroom Problems,Low
Public Restroom Problems is slightly malfunctioning Urgent check needed.,Infrastructure,Public Restroom Problems,Low
Public Restroom Problems is not functioning well Needs attention.,Infrastructure,Public Restroom Problems,Critical
The public restroom problems needs attention Please fix it.,Infrastructure,Public Restroom Problems,Low
There is an issue with the public restroom problems,Infrastructure,Public Restroom Problems,Low
Reported a minor issue in public restroom problems Urgent check needed.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems is not functioning well Please fix it.,Infrastructure,Public Restroom Problems,High
There is an issue with the public restroom problems.,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems seems broken Needs quick inspection.,Infrastructure,Public Restroom Problems,Critical
I saw a small problem in the public restroom problems Needs attention.,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems seems broken Urgent check needed.,Infrastructure,Public Restroom Problems,Low
Public Restroom Problems seems broken Not working as it should.,Infrastructure,Public Restroom Problems,High
I saw a small problem in the public restroom problems Not working as it should.,Infrastructure,Public Restroom Problems,Medium
I saw a small problem in the public restroom problems Needs quick inspection.,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems has minor problems Needs quick inspection.,Infrastructure,Public Restroom Problems,Low
Reported a minor issue in public restroom problems Needs attention.,Infrastructure,Public Restroom Problems,Low
The public restroom problems needs attention Might be dangerous.,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems is not functioning well Needs urgent review.,Infrastructure,Public Restroom Problems,Low
Public Restroom Problems has minor problems,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems seems broken Please fix it.,Infrastructure,Public Restroom Problems,High
Reported a minor issue in public restroom problems,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems is slightly malfunctioning Can someone check?,Infrastructure,Public Restroom Problems,High
Public Restroom Problems has minor problems Please fix it.,Infrastructure,Public Restroom Problems,Critical
Public Restroom Problems is not functioning well,Infrastructure,Public Restroom Problems,Critical
Something isn't right with the public restroom problems Can someone check?,Infrastructure,Public Restroom Problems,High
The public restroom problems is not working Needs urgent review.,Infrastructure,Public Restroom Problems,Low
Public Restroom Problems is not functioning well Can someone check?,Infrastructure,Public Restroom Problems,Low
There is an issue with the public restroom problems Can someone check?,Infrastructure,Public Restroom Problems,Critical
Something isn't right with the public restroom problems Urgent check needed.,Infrastructure,Public Restroom Problems,High
Something isn't right with the public restroom problems Needs urgent review.,Infrastructure,Public Restroom Problems,Low
Something isn't right with the public restroom problems.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems has minor problems Needs urgent review.,Infrastructure,Public Restroom Problems,Critical
The public restroom problems is not working Please fix it.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems seems broken Can someone check?,Infrastructure,Public Restroom Problems,Medium
Reported a minor issue in public restroom problems Not working as it should.,Infrastructure,Public Restroom Problems,Critical
Public Restroom Problems is not functioning well Needs quick inspection.,Infrastructure,Public Restroom Problems,Low
The public restroom problems needs attention Can someone check?,Infrastructure,Public Restroom Problems,High
The public restroom problems needs attention Needs urgent review.,Infrastructure,Public Restroom Problems,Low
Public Restroom Problems has minor problems Can someone check?,Infrastructure,Public Restroom Problems,Critical
Public Restroom Problems seems broken.,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems is slightly malfunctioning Might be dangerous.,Infrastructure,Public Restroom Problems,High
The public restroom problems is not working Urgent check needed.,Infrastructure,Public Restroom Problems,High
The public restroom problems is not working Needs attention.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems has minor problems Urgent check needed.,Infrastructure,Public Restroom Problems,Medium
The public restroom problems is not working Needs quick inspection.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems is not functioning well.,Infrastructure,Public Restroom Problems,Medium
Public Restroom Problems seems broken Might be dangerous.,Infrastructure,Public Restroom Problems,Medium
There is an issue with the public restroom problems Needs urgent review.,Infrastructure,Public Restroom Problems,High
The public restroom problems needs attention Needs attention.,Infrastructure,Public Restroom Problems,High
I saw a small problem in the public restroom problems,Infrastructure,Public Restroom Problems,Critical
I saw a small problem in the public restroom problems Urgent check needed.,Infrastructure,Public Restroom Problems,Critical
